city,archetype,poi_id,name,category,popularity_score,in_pool,in_shortlist,in_plan
BER,Nature & Adventure,POI0421,Siegessäule,history,4.9,True,True,True
BER,Nightlife Seeker,POI0401,Berlin Wall,landmark,5.0,True,True,True
BER,Nightlife Seeker,POI0406,Brandenburg Gate,landmark,4.99,True,True,True
BER,Nightlife Seeker,POI0411,Reichstag,landmark,4.98,True,True,True
BER,Nightlife Seeker,POI0403,Führerbunker,history,4.97,False,False,False
BER,Nightlife Seeker,POI0409,Fernsehturm Berlin,history,4.96,False,False,False
BER,Nightlife Seeker,POI0408,Berghain,nightlife,4.95,True,True,True
BER,Nightlife Seeker,POI0416,Memorial to the Murdered Jews of Europe,history,4.94,False,False,False
BER,Nightlife Seeker,POI0404,Pergamon Museum,museum,4.93,False,False,False
BER,Nightlife Seeker,POI0420,Berlin Palace,landmark,4.92,False,False,False
BER,Nightlife Seeker,POI0405,Berlin Cathedral,religion,4.92,False,False,False
BER,Nightlife Seeker,POI0410,Museum Island,culture,4.91,True,True,True
BER,Nightlife Seeker,POI0421,Siegessäule,history,4.9,False,False,False
PAR,Beach & Relax,POI0001,Eiffel Tower,landmark,5.0,True,True,True
PAR,Beach & Relax,POI0003,Notre-Dame de Paris,religion,4.99,True,True,True
PAR,Beach & Relax,POI0002,Louvre Museum,museum,4.99,True,True,True
PAR,Beach & Relax,POI0008,Musée d'Orsay,museum,4.98,False,False,False
PAR,Beach & Relax,POI0009,Bastille,landmark,4.97,False,False,False
PAR,Beach & Relax,POI0005,Père Lachaise Cemetery,history,4.97,False,False,False
PAR,Beach & Relax,POI0006,Montmartre,nature,4.96,True,True,True
PAR,Beach & Relax,POI0020,Catacombs of Paris,museum,4.95,False,False,False
PAR,Beach & Relax,POI0011,Panthéon,religion,4.94,False,False,False
PAR,Beach & Relax,POI0017,Sacré-Cœur,religion,4.93,False,False,False
PAR,Beach & Relax,POI0007,Moulin Rouge,nightlife,4.92,False,False,False
PAR,Beach & Relax,POI0030,Les Invalides,landmark,4.92,False,False,False
PAR,Budget Backpacker,POI0001,Eiffel Tower,landmark,5.0,True,True,True
PAR,Budget Backpacker,POI0003,Notre-Dame de Paris,religion,4.99,True,True,True
PAR,Budget Backpacker,POI0002,Louvre Museum,museum,4.99,True,True,True
PAR,Budget Backpacker,POI0008,Musée d'Orsay,museum,4.98,False,False,False
PAR,Budget Backpacker,POI0009,Bastille,landmark,4.97,False,False,False
