top_k,city,archetype,budget_hours,n_sightseeing,n_food,arm,drop_penalty_m,mean_pref_match,mean_quality,categories_per_day,stops,sight_stops,food_stops,km,stops_per_day,sight_per_day,km_per_stop,closed_violations,budget_overruns,days_with_meals,n_days
72,PAR,Nature & Adventure,12,72,47,toptw,2000.0,0.6027,0.6811,2.0,26,20,6,11.69,8.666666666666666,6.666666666666667,0.44961538461538464,0,0,3,3
72,PAR,Nature & Adventure,12,72,47,scored,2000.0,0.5682,0.7304,2.0,24,18,6,10.98,8.0,6.0,0.4575,0,0,3,3
72,PAR,Nature & Adventure,12,72,47,toptw,4000.0,0.6027,0.6666,1.667,26,20,6,9.12,8.666666666666666,6.666666666666667,0.35076923076923083,0,0,3,3
72,PAR,Nature & Adventure,12,72,47,scored,4000.0,0.5713,0.7843,2.333,24,18,6,17.44,8.0,6.0,0.7266666666666667,0,0,3,3
72,PAR,Nature & Adventure,12,72,47,toptw,8000.0,0.6027,0.6642,2.0,26,20,6,10.79,8.666666666666666,6.666666666666667,0.41500000000000004,0,0,3,3
72,PAR,Nature & Adventure,12,72,47,scored,8000.0,0.6148,0.8354,2.333,22,16,6,24.58,7.333333333333333,5.333333333333333,1.1172727272727272,0,0,3,3
72,PAR,Nature & Adventure,12,72,47,toptw,16000.0,0.6027,0.6642,2.0,26,20,6,10.79,8.666666666666666,6.666666666666667,0.41500000000000004,0,0,3,3
72,PAR,Nature & Adventure,12,72,47,scored,16000.0,0.5918,0.79,2.333,23,17,6,24.38,7.666666666666667,5.666666666666667,1.06,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,baseline,,0.5079,0.6305,2.333,28,22,6,30.34,9.333333333333334,7.333333333333333,1.0835714285714286,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,toptw,1000.0,0.5993,0.6778,2.0,30,24,6,12.89,10.0,8.0,0.4296666666666667,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,scored,1000.0,0.5918,0.728,2.333,23,17,6,8.44,7.666666666666667,5.666666666666667,0.3669565217391304,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,toptw,2000.0,0.6213,0.6704,2.0,32,26,6,16.77,10.666666666666666,8.666666666666666,0.5240625,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,scored,2000.0,0.5529,0.7887,2.333,25,19,6,13.8,8.333333333333334,6.333333333333333,0.552,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,toptw,4000.0,0.6479,0.6751,2.0,32,26,6,19.72,10.666666666666666,8.666666666666666,0.61625,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,scored,4000.0,0.5529,0.7692,2.333,25,19,6,17.01,8.333333333333334,6.333333333333333,0.6803999999999999,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,toptw,8000.0,0.6373,0.6606,2.0,31,25,6,17.9,10.333333333333334,8.333333333333334,0.5774193548387097,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,scored,8000.0,0.5713,0.8113,2.333,24,18,6,24.25,8.0,6.0,1.0104166666666667,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,toptw,16000.0,0.6257,0.6845,2.0,30,24,6,14.1,10.0,8.0,0.47,0,0,3,3
72,PAR,Nature & Adventure,15,72,47,scored,16000.0,0.5529,0.7951,2.333,25,19,6,26.67,8.333333333333334,6.333333333333333,1.0668,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,baseline,,0.5842,0.6335,2.333,30,25,5,39.2,10.0,8.333333333333334,1.3066666666666664,0,0,2,3
72,PAR,Nature & Adventure,18,72,47,toptw,1000.0,0.6132,0.6599,2.0,29,23,6,13.16,9.666666666666666,7.666666666666667,0.4537931034482759,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,scored,1000.0,0.5713,0.7118,2.333,24,18,6,10.27,8.0,6.0,0.42791666666666667,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,toptw,2000.0,0.6622,0.6861,2.0,36,30,6,20.27,12.0,10.0,0.5630555555555555,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,scored,2000.0,0.5713,0.7734,2.333,24,18,6,13.69,8.0,6.0,0.5704166666666667,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,toptw,4000.0,0.6685,0.6585,2.0,37,31,6,23.73,12.333333333333334,10.333333333333334,0.6413513513513514,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,scored,4000.0,0.5713,0.7936,2.333,24,18,6,15.83,8.0,6.0,0.6595833333333333,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,toptw,8000.0,0.6685,0.6697,2.0,37,31,6,23.97,12.333333333333334,10.333333333333334,0.6478378378378378,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,scored,8000.0,0.5529,0.8045,2.333,25,19,6,23.66,8.333333333333334,6.333333333333333,0.9464,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,toptw,16000.0,0.6833,0.6725,1.667,36,30,6,23.42,12.0,10.0,0.6505555555555556,0,0,3,3
72,PAR,Nature & Adventure,18,72,47,scored,16000.0,0.5559,0.7896,2.667,25,19,6,40.23,8.333333333333334,6.333333333333333,1.6092000000000002,0,0,3,3
72,PAR,Family Traveler,12,69,47,baseline,,0.548,0.7915,3.0,20,14,6,28.71,6.666666666666667,4.666666666666667,1.4355,0,0,3,3
72,PAR,Family Traveler,12,69,47,toptw,1000.0,0.5513,0.8628,3.0,23,17,6,7.21,7.666666666666667,5.666666666666667,0.3134782608695652,0,0,3,3
