poi_id,destination_id,name,category,lat,lon,avg_visit_minutes,price_level,popularity_score,description,open_hour,close_hour
POI0744,AMS,Huis Marseille,museum,52.367641,4.884837,120,1,4.1,Huis Marseille is a photography museum in Amsterdam.,10,18
POI0745,AMS,Raw Aron Schuster Synagoge,religion,52.352557,4.877496,30,0,4.1,A historic place of worship in Amsterdam.,7,19
POI0746,AMS,Gambrinus,nightlife,52.351326,4.891211,120,1,4.0,A lively nightlife spot in Amsterdam.,11,24
POI0747,AMS,Bimhuis,culture,52.377969,4.912886,90,1,4.2,Bimhuis is a concert hall in Amsterdam.,9,20
POI0748,AMS,IJ-Hallen,food,52.401278,4.896595,60,1,4.0,A well-regarded food destination in Amsterdam.,10,23
POI0749,AMS,Museumplein,nature,52.357402,4.881608,90,0,4.4,"Museumplein is a square in Amsterdam, Netherlands.",0,24
POI0750,AMS,Design020,shopping,52.362182,4.975303,60,1,4.0,A popular shopping spot in Amsterdam.,10,18
POI0751,PRG,U Tlustý Berty,landmark,50.093736,14.380539,60,1,4.0,"U Tlustý Berty is a villa in Prague, Czech Republic.",8,20
POI0752,PRG,Mikoláš Aleš,history,50.024153,14.44661,60,0,4.0,A historic site in Prague.,8,19
POI0753,PRG,Stětí svatého Jana Křtitele,religion,50.049033,14.524392,30,0,4.1,"Stětí svatého Jana Křtitele is a church building in Hostivař, Czech Republic, in Prague.",7,19
POI0754,PRG,Kotva,shopping,50.088937,14.427163,60,1,4.2,Kotva is a department store in Prague.,9,20
POI0755,PRG,svatý Šimon a Juda,culture,50.092039,14.420644,90,1,4.1,svatý Šimon a Juda is a church in Prague.,9,20
POI0756,PRG,Valdštejnská zahrada,nature,50.090175,14.407568,90,0,4.1,"Valdštejnská zahrada is a park in Prague 1, Czech Republic.",7,19
POI0757,PRG,Nudistická pláž Braník,beach,50.027785,14.399437,150,0,4.0,A popular beach in Prague.,0,24
POI0758,PRG,Cross Club,nightlife,50.108293,14.443228,120,1,4.1,"Cross Club is a music venue in Prague, Czech Republic.",0,5
POI0759,PRG,Havelské tržiště,food,50.084772,14.420993,60,1,4.0,"Havelské tržiště is a market in Prague, Czech Republic.",7,19
POI0760,PRG,Gorlice,museum,50.06524,14.421215,120,1,4.1,A notable museum in Prague.,9,18
POI0761,PRG,Zvonička,landmark,50.092725,14.349762,60,1,4.1,A well-known landmark in Prague.,8,20
POI0762,PRG,Franz Kafka,history,50.087891,14.41922,60,0,4.0,A historic site in Prague.,8,19
POI0763,PRG,Staronová synagoga,religion,50.090068,14.418599,30,0,4.4,"Staronová synagoga is a synagogue in Prague, Czechia.",11,17
POI0764,PRG,Galerie Butovice,shopping,50.047607,14.354685,60,1,4.1,"Galerie Butovice is a shopping mall in Prague, Czech Republic.",10,20
POI0765,PRG,Chodovská tvrz,culture,50.034641,14.499015,90,1,4.1,Chodovská tvrz is a stronghold in Prague.,13,19
POI0766,PRG,Hadovka,nature,50.098132,14.373428,90,0,4.1,"Hadovka is a park in Prague, Czech Republic.",0,24
POI0767,PRG,Kenton's New York Bar,nightlife,50.089599,14.42185,120,1,4.0,Kenton's New York Bar is a building in Prague.,19,3
POI0768,PRG,Kunratická stodola,food,50.013139,14.481476,60,1,4.0,Kunratická stodola is a building in Prague.,10,23
POI0769,PRG,Vojenský historický ústav Praha,museum,50.087663,14.445164,120,0,4.1,"Vojenský historický ústav Praha is an organization, in Prague.",9,18
POI0770,PRG,Čertův sloup,landmark,50.064311,14.419142,60,1,4.1,"Čertův sloup is a stone formation in Prague, Czech Republic.",8,20
