destination_id,city,country,lat,lon,budget_level,tags
PAR,Paris,France,48.8566,2.3522,3,"[""culture"", ""art"", ""food"", ""shopping""]"
BER,Berlin,Germany,52.52,13.405,2,"[""history"", ""culture"", ""nightlife"", ""art""]"
